Product,Quantity,Retail Price,Total Retail Price,UPC,Notes
MIGHTY BLISS,1,$7.15 ,$7.15 ,,
MIGHTY BLISS,1,$7.15 ,$7.15 ,,
"Braun BFH-125 Forehead Thermometer, White Forehead Thermometer for Babies, Kids, Toddlers, Adults, Display is Digital and Accurate, Thermometer for Precise Fever Tracking at Home",1,$7.13 ,$7.13 ,,
"Weleda Childrens Tooth Gel, 1.7 Ounce",1,$7.10 ,$7.10 ,,
"Maui Moisture Volcanic Body Wash 19.5 Ounce Moisturizing Body Wash Formulated for Rough Dull Dry Skin Normal Skin Combination Skin, with Aloe Vera Juice and Coconut Water, Silicone Free",1,$6.99 ,$6.99 ,,
Diabetes Doctor Mealtime Sugar Defense (Sugar-Blocker) - Reduce Blood Sugar Spikes and Carbohydrate Absorption -Stable Blood Glucose Levels for Type 2 Diabetes Support and Weight Loss Support,1,$6.92 ,$6.92 ,,
"Queendom Self Matte Woman Lipstick, Deep Plum Shade Matte Finish & Long Lasting Lipstick Cruelty Free, Paraben Free",1,$6.84 ,$6.84 ,,
"3PCS Key Chains Ring Bracelets, Leather Tassel Bangle Round Key Ring Wristlet Keychain for Women Girl and Valentine Birthday Party Gifts",1,$6.16 ,$6.16 ,,
"The Body Shop For Men Maca Root Deodorant Stick, 2.6 Oz",1,$6.00 ,$6.00 ,,
SE Cross Lock Soldering Tweezers with Fiber Grip and 45-Degree Angle - 509TW,1,$5.99 ,$5.99 ,,
"Ear Cleaner, Ear Wax Removal Kit, Ear Wax Removal Tool, Ear Cleaning, 4 Types Ear Spoons, Soft Silicone,with LED Light Powerful Suction for Easy Cleaning, Senior White",1,$5.93 ,$5.93 ,,
"Two Peas Organics - All Natural Organic Sunscreen Lotion - Coral Reef Safe - Baby, Kid & Family Friendly - Chemical Free Mineral Based Formula - Waterproof & Unscented - SPF 30-3oz",1,$5.54 ,$5.54 ,,
"Secret Outlast Clear Gel Antiperspirant Deodorant for Women, Unscented 2.6 oz (Packaging May Vary)",1,$4.99 ,$4.99 ,,
"Tomight Jade Roller for Face with Gua Sha Tool, Perfect for Aging Wrinkles Puffiness Facial Skin Massager Treatment Therapy",1,$4.14 ,$4.14 ,,
Lelinta Hair Bun Extensions Wavy Curly Messy Hair Extensions Donut Hair Chignons Hair Piece Wig Hairpiece,1,$3.61 ,$3.61 ,,
"Oral-b Healthy Clean Toothbrushes, Medium Bristles, 6 Count(Assorted colors)",1,$2.77 ,$2.77 ,,
"6 Pack Reading Glasses by BOOST EYEWEAR, Clear Half Rim Frames, for Men and Women, with Comfort Spring Loaded Hinges, Clear, 6 Pairs (+2.00)",1,$2.57 ,$2.57 ,,
Massage Ball Rollers Therapy Tools for Essential Oils,1,$2.24 ,$2.24 ,,
"Self Adherent Cohesive Bandages Wrap 6 Count 2"" x 5 Yards, Medical Tape, Adhesive Flexible Breathable First Aid Non Woven Rolls, Stretch Athletic, Ankle Sprains & Swelling, Sports, FDA Approved",1,$0.91 ,$0.91 ,,
,78,,"$1,613.80 ",,
